nu,E
405,107.5
521,154.9
382,98.1
362,111.7
444,130.0
465,114.8
513,163.6
362,84.3
550,147.9
453,138.2
482,141.2
431,125.0
437,129.2
352,87.7
351,89.0
498,164.0
510,162.3
547,154.7
477,146.0
428,131.6
458,124.4
470,146.7
499,144.5
418,125.7
477,139.7
468,142.0
545,145.3
441,140.8
543,155.4
474,132.5
321,86.1
438,120.7
409,121.0
451,124.3
462,125.2
541,162.3
460,140.7
358,98.3
353,98.0
508,159.0
379,94.6
458,128.0
548,162.3
447,117.5
446,128.4
483,130.3
528,163.4
462,135.7
453,119.5
393,103.2
487,146.0
430,95.3
371,91.9
441,126.1
495,150.9
510,129.4
496,141.7
525,162.1
377,96.0
512,169.9
382,113.9
480,153.9
391,107.5
448,137.3
540,156.7
421,126.9
453,124.2
441,122.8
452,116.1
476,143.0
464,143.2
449,124.5
331,84.6
444,121.4
423,104.1
446,130.3
451,128.6
434,140.4
469,131.5
452,131.0
397,108.6
470,124.0
351,102.9
430,104.3
541,146.8
467,140.5
394,112.1
406,110.1
477,135.8
424,119.0
475,143.6
352,84.9
391,98.2
482,150.1
453,126.4
465,140.9
458,121.7
482,139.9
448,125.6
411,112.9
452,119.7
504,143.8
454,131.1
422,122.9
443,137.4
510,153.9
448,125.0
442,123.4
423,115.9
504,145.3
471,143.9
493,154.5
544,166.7
460,122.4
